CourseCode,ModuleCode,Gender - F,Gender - M,TotalStudents
AGAMA,GAV4017-N,71,0,71
AGAPRD,GAV4017-N,72,72,144
AGMA,GAV4003-N,140,198,338
AQMA,GAV4017-N,353,498,851
AQMA1,GAV4017-N,72,217,289
ATDGMA,GAV4017-N,143,71,214
AVBA,GAV0003-N,668,1586,2254
BMPSNG,CAM0001-N,529,143,672
CAMA,GAV4017-N,761,615,1376
CANFSNG,GAV3009-N,0,128,128
CANSNG,GAV3009-N,522,460,982
CATSNG,GAV0003-N,8151,10345,18496
CBSAMS,CIS4012-N,250,394,644
CBSMS,CIS4012-N,217,667,884
CCHFSNG,GAV2003-N,450,603,1053
CCHSNG,GAV0003-N,1367,2255,3622
CGNBA,CAM0001-N,301,1121,1422
CGPPRD,CIS1018-N,1039,1254,2293
CGSSNG,CAM1030-N,1031,2054,3085
CGVIMO,GAV1002-N,913,1277,2190
CMA,GAV4017-N,995,1368,2363
CNMS,CIS4008-N,367,364,731
CNPRD,CIS4008-N,110,449,559
CPTFSNG,CIS1010-N,343,369,712
CPTSNG,CIS0002-N,1184,3247,4431
CSCPRD,CIS1010-N,765,938,1703
CSFSNG,CIS1010-N,691,886,1577
CSMS,CIS4021-N,182,60,242
CSMS1,CIS4023-N,120,0,120
CSNMS,CIS4012-N,84,104,188
CSNPRD,CIS4012-N,225,0,225
CSNSNG,COM3051-N,317,475,792
CSSNG,CIS0002-N,7335,9397,16732
CVEFSNG,VIS3102-N,48,49,97
CVESNG,VIS3102-N,493,539,1032
CYBBS,CIS0002-N,2949,3684,6633
DCMPRD,CAM4036-N,226,186,412
DGMBS,MUL3063-N,0,336,336
DNCSNG,PER3012-N,81,243,324
DTSAMS,CIS4008-N,142,87,229
DTSMS,CIS4008-N,0,74,74
DWEBS,CIS1018-N,114,272,386
FASNG,CAM1018-N,833,1571,2404
FMCUBA,MED0008-N,338,317,655
FOMA,CAM4017-N,8,0,8
FTPBA,CAM0001-N,2083,3069,5152
FUAPRD,CAM4016-N,165,273,438
GDEPRD,GAV3009-N,557,1005,1562
GMA,GAV4003-N,546,1265,1811
GMFSNG,GAV1002-N,454,686,1140
GMSNG,CIS1010-N,5462,7818,13280
GPDMA,GAV4003-N,69,137,206
GPDPRD,GAV4003-N,137,69,206
HIFBS,CIS2016-N,329,390,719
IGDSNG,GAV0001-N,558,1781,2339
INFSNG,CIS0002-N,2319,2355,4674
IPMMS,CIS4021-N,0,97,97
IPMPRD,CIS4012-N,251,68,319
JOUSNG,CAM1008-N,1420,1831,3251
MDCBA,CAM1030-N,361,436,797
MJMSNG,MED3007-N,144,217,361
MJSSNG,MED0008-N,153,671,824
MMJSNG,MED3030-N,63,72,135
MPRPRD,CAM4037-N,320,197,517
MUTBS,CAM1000-N,360,858,1218
MZSNG,DES3095-N,436,727,1163
OABA,CAM2039-N,435,312,747
PFTMA,CAM4061-N,182,248,430
PFTMAE,CAM4061-N,0,70,70
PLMSNG,PER3008-N,303,709,1012
SPJBA,CAM1008-N,236,646,882
TDABA,GAV0003-N,891,730,1621
TDGMA,GAV4003-N,921,1433,2354
TFPSNG,MED2034-N,1339,1525,2864
TGDBS,GAV0001-N,960,1835,2795
TVEMS,GAV4002-N,131,0,131
UPSNG,CIS0003-N,3321,5626,8947
VIEAMA,GAV4017-N,72,72,144
VIEIMO,GAV1007-N,157,79,236
VIWBA,GAV0003-N,685,1317,2002
WBPBS,CIS1009-N,750,988,1738
WMMSNG,MUL3051-N,273,23,296
ZDFSNG,COM3045-N,619,553,1172
ZDSNG,COM3045-N,7490,9500,16990
